,Roles,Companies,Locations,Requirements
0,Data Verifier,TechnoServe,Nigeria,"Perform first-level data cleaning and data verification of all data collected by enumerators.
Bachelor’s degree in social science, economics, statistics,…"
1,Data Scientist,Softcom LTD,Ikeja,"A minimum of 2 years of data science and analytics experience in industry.
To enable seamless data collection and analysis of Data to generate insight for…"
2,Data Conversion / IT Support Officer,Risk Control Services Nigeria Limited,Lagos,"Data Conversion / IT Support Officer.
Candidate must be a graduate of Information Technology/Computer Science from a reputable institution."
3,Nutrition Resource Tracking in Nigeria Data Collection Activ...,Results for Development,Nigeria,"Coordinate with MB&NP and R4D team to run data quality checks as the data are collected.
Preparation of data collection tools;
1 day of planning per MDA:"
4,Data Inventory(Book Keeping),Null,Lagos,"Accounting, Finance, Statistics and business or social science degree.
Our Client is a fashion and beauty boutique."
5,Data Scientist,Lidya,Lagos,"Technical expertise regarding data models, database design development, data mining and segmentation techniques.
We are looking for a passionate Data Scientist."
6,Data Scientist (Machine Learning Engineer),"Okra, Inc.",Lagos,"Graduate degree in Data Science or other quantitative field is preferred.
It’s an amazing time to join the Data Science (Machine Learning) team at Okra."
7,Data.FI Nigeria Programmer--Consultant,"Palladium Group, Inc.",Nigeria,"Bachelor's degree in Computer Science or another relevant field.
Extensive experience in system and data migration for mission critical technologies."
8,Sales Support Executive / Data Analyst,Ascentech,Lagos,"Proven working experience as a data analyst or business data analyst.
Develop and implement data analyses, data collection systems and other strategies that…"
9,Data Analyst,Gozem,Onitsha,"Providing technical expertise on data storage structures, data mining, and data cleansing.
We are looking to hire a Data Analyst to join our data team."
10,Data Centre Network Engineer,ipNX,Lagos,"Experience in troubleshooting complex data centre environments.
Ensure operational efficiency of colocation services of the Data Centre."
11,Data Capture Clerk,Null,Yobe,"Capture data accurately Capture problem solving documentation identify anomaly and notify relevant teams Maintain occupational health, safety, risk and…"
12,Data Engineer Job at Prunedge,Prunedge,Lagos,"Build data ingest and data transformation infrastructure.
Verifying data quality, and/or ensuring it via data cleansing."
13,Data Analytics & Insight Leader - GE,Null,Osun,"Establish regions data insight vision and roadmap through automation, dashboarding, data science, and MDM.
Solid knowledge of data science programs and concepts…"
14,Administrator-Network Voice & Data,Null,Nigeria,"Install network equipment in data centres and technical rooms.
Bachelors Degree/ Diploma in Computer Science, Engineering, and/ or Information Technology."
15,Data Engineer Job at Prunedge,Prunedge,Lagos,"Build data ingest and data transformation infrastructure.
Verifying data quality, and/or ensuring it via data cleansing."
16,Data Engineer,Null,Lagos,"Decent coding expertise with Data Science programming languages like R, Python and Julia.
Implement enterprise cloud data architecture designs."
17,Administrator-Network Voice & Data,Null,Nigeria,"Install network equipment in data centres and technical rooms.
Bachelors Degree/ Diploma in Computer Science, Engineering, and/ or Information Technology."
18,Data Management Specialist,Null,Abia,"Manage all collected SIMS data.
MMaster's degree in Public Health, Epidemiology, Information Science, Computer Science, Health Information Management, Sociology…"
19,Data Analytics & Insight Leader - GE,Null,Osun,"Establish regions data insight vision and roadmap through automation, dashboarding, data science, and MDM.
Solid knowledge of data science programs and concepts…"
20,Data Engineer Job at Prunedge,Prunedge,Lagos,"Build data ingest and data transformation infrastructure.
Verifying data quality, and/or ensuring it via data cleansing."
21,Data Management Specialist,Null,Abia,"Manage all collected SIMS data.
MMaster's degree in Public Health, Epidemiology, Information Science, Computer Science, Health Information Management, Sociology…"
22,Data Support Analyst,Null,Nigeria,A startup is NOT a new tech company FUNCTIONAL COMPETENCIES Data Management Business Acumen BEHAVIOURAL COMPETENCIES Collaboration Effective Communication…
23,Data Analytics & Insight Leader - GE,Null,Osun,"Establish regions data insight vision and roadmap through automation, dashboarding, data science, and MDM.
Solid knowledge of data science programs and concepts…"
24,Data Warehouse Engineer,Renmoney,Lagos," Define each data label and create appropriate description and data types (general data profiling).
Data Warehouse Engineer will be essential in driving the…"
25,Data Scientist at Syrol Technologies,careersome,Lagos,"We are looking for an experienced data science engineer, who has good experience in writing Python ,Pandas, Numpy, and other data science libraries."
26,"Specialist, Data Quality Management",Null,Nigeria,Level of accuracy of reporting outputs as determined by stakeholder feedback Successful remediation of data issues identified during data analysis Documentation…
27,Data Analyst at Proten International,careersome,Lagos,"Collecting, Analyzing and interpreting data.
Identifying patterns and trends in data sets.
Defining new data collection and analysis processes."
28,Data Analyst - Talent Sourcing Associate,GOLDIE SERVICES,Lagos,"Acquiring data from primary or secondary data sources and maintaining databases/data systems.
Data Analyst - Talent Sourcing Associate."
29,Data Analyst at Energy360 Africa Limited,careersome,Lagos,"The Data Analyst will work alongside the data warehouse team to provide data related support, data investigation, research, data management and data reporting."
30,Research Assistant Data Collectors at Jhpiego Nigeria - Akwa...,careersome,Akwa Ibom,"Quality Assurance of Data Cleaning:
Respond to any follow-up requests from Jhpiego study Team related to data collection or data deaning."
31,Database Officer,FHI 360,Abuja,"Data remains consistent across the database;- Data is clearly defined;- Users access data concurrently, in a form that suits their needs;- There is provision…"
32,Data Scientist at Foodlocker,careersome,Ibadan,"BSc in Computer Science or any analytical discipline (Mathematics, Physics, etc).
Foodlocker, an Ibadan-based e-Commerce/Retail startup is hiring an Data…"
33,Data Analyst at Aldelia Group,careersome,Lagos,"Maintain data base of security related incidents for reference.
A good knowledge in data sourcing, analysis and reporting."
34,Graduate Data Analyst at Biswal Limited,careersome,Lagos,"Acquire data from primary or secondary data sources and maintain databases/data systems.
Develop and implement databases, data collection systems, data…"
35,Data Collector at Women for Women International,careersome,Plateau,"First degree in Social Science, Management Sciences or Mathematics/Statistics discipline.
Ability to handle and organize data."
36,Data Analytics Associate at First Bank of Nigeria Limited,careersome,Lagos,"Bachelor's Degree in Maths, Statistics, Computer Science or Other relevant Science disciplines.
Build ingestion processes to, prepare, extract, and annotate a…"
37,Data Science Engineer at Kobo360,careersome,Nigeria,"Kobo360, a Logistics and Supply Chain company, is recruiting to fill the position of Data Science Engineer in Nigeria.
Good scripting and programming skills."
38,Data Analyst at Excite Panacea Limited (EPL),careersome,Lagos,"Degree from a university or polytechnic in Computer Science, Mathematics or any numerate science.
Translate complex data and trends into easily understood…"
39,Database Administrator,Null,Nigeria,"Maintain data standards, including adherence to the Data Protection Act(UK).
Prepare database documentation, including data standards, procedures, and…"
40,Data Scientist at Access Bank Plc,careersome,Nigeria,This recruitment seeks to identify potential data science talents who have been sourced from the just concluded data hack and Data science of Nigeria.
41,Data Analyst at GDM Group,careersome,Lagos,"Acquire data from primary or secondary data sources and maintain databases/data systems.
Technical expertise regarding data models, database design development,…"
42,Data Scientist at Snapnet Nigeria Limited,careersome,Lagos,"Graduate degree in Data Science or other quantitative field is preferred.
Tableau) and data frameworks (e.g.
Proven experience as a Data Scientist."
43,Lead Geodata Analyst,Null,Kebbi,"Develops computer interfacing, data conversion, data collection, mobile, web and computer applications using GIS and mobile data collection applications."
44,AWS Certified Database - Specialty,Xyples LLC,Lagos,"Prior working experience on data science workbench.
Certification –preferably AWS Certified Big Data or any other cloud data platforms, big data platforms."
45,Data Scientist at Onwards Technologies,careersome,Lagos,"Able to understand various data structures and common method in data presentation.
Extensive background in data mining and statistical analysis."
46,Data Entry Personnel at Women for Women International,careersome,Plateau,"First degree in Social Science, Management Sciences or Mathematics/Statistics discipline.
Knowledge of basic data processing skills."
47,Data Entry Personnel at Women for Women International,careersome,Plateau,"First degree in Social Science, Management Sciences or Mathematics/Statistics discipline.
Knowledge of basic data processing skills."
48,Data Analyst at 4 Quarters Consultants Limited,careersome,Lagos,"Minimum of HND/B.SC in Computer Science.
Should be able to analyzed data.
Data Analysis experience and information gathering."
49,Data Analyst at Rovedana Limited,careersome,Lagos,"Minimum of 2 years’ experience as a data analyst.
Strong degree in Mathematics, Economics, Computer Science, Information Management or Statistics."
50,Database Administrator at Alfred & Victoria Associates,careersome,Lagos,"Utilize high-speed transaction recovery techniques and backup data.
BS degree in Computer Science or other relevant area."
51,Business Intelligence Analyst/ Database Administrator,GOLDIE SERVICES,Lagos,"Accept delegated responsibilities for areas of data management and development.
Identify process improvements to streamline data collection and report…"
52,Chief Data Officer Job At One Credit Limited,Null,Osun,"Qualifications University degree in Computer Science, Statistics, Information Systems or related engineering fields and 5+ years of experience in relevant…"
