,Roles,Companies,Locations,Requirements
0,Data Verifier,TechnoServe,Nigeria,"Perform first-level data cleaning and data verification of all data collected by enumerators.
Bachelor’s degree in social science, economics, statistics,…"
1,Data Scientist,Softcom LTD,Ikeja,"A minimum of 2 years of data science and analytics experience in industry.
To enable seamless data collection and analysis of Data to generate insight for…"
2,Research Assistant,TechnoServe,Nigeria,"Design data points for data collection especially secondary data.
Collect, analyze data and report secondary data for the approved data points."
3,Part Time Teaching Assistant,The Gradient Boost,Lagos,"We currently offer a 4 month Introduction to Data Science program.
We are looking to hire a Teaching Assistant for our Introduction to Data Science program."
4,Human Resource Assistant,TechnoServe,Nigeria,"Maintain staff training data, coordinate training materials and logistics for HR Officer.
Maintain and update employees list and employees data through UltiPro."
5,Systems Administrator,Global Performance Index International,Lagos,"Knowledge of system security and data backup / recovery.
A first degree in Information Technology, Computer Science or a related technical field would be an…"
6,Senior ICT Officer,SDIL,Lagos,"Implement and update a data disaster recovery plan (back up).
Bachelor's degree in IT-related field (Computer Science, Computer Networking, Programming, and…"
7,Data Conversion / IT Support Officer,Risk Control Services Nigeria Limited,Lagos,"Data Conversion / IT Support Officer.
Candidate must be a graduate of Information Technology/Computer Science from a reputable institution."
8,Monitoring and Evaluation Assistant,Plan International,Damaturu,"Ensure quality of data through data verification procedures, including routine data quality audits.
Support to ensure that relevant data (5Ws, 3Ws and related…"
9,Nutrition Resource Tracking in Nigeria Data Collection Activ...,Results for Development,Nigeria,"Coordinate with MB&NP and R4D team to run data quality checks as the data are collected.
Preparation of data collection tools;
1 day of planning per MDA:"
10,Graduate Intern,Null,," First degree in Social Sciences.
 Perform analysis of marketing and sales data.
25 - 45min assessment - Learn More.
Why is there a skills assessment?"
11,Nutritionist Needed at Powerline Nuclear Services,Powerline Nuclear Services,,"Good understanding of research methods and data analysis.
Degree in nutritional science, dietetics or relevant field."
12,Data Inventory(Book Keeping),Null,Lagos,"Accounting, Finance, Statistics and business or social science degree.
Our Client is a fashion and beauty boutique."
13,Reservoir Engineers - Lagos,Null,Lagos,"Good knowledge of Geo sciences data and Information Systems.
Very good knowledge of databases and data models."
14,GIS Analyst,TechnoServe,Nigeria,"Supporting GIS spatial data cleaning, quality assurance, and analyses.
Previous experience with mobile data collection for mapping purposes."
15,Administrative Assistant Intern,Null,Abuja,"Ordinary or B.sc in Social Sciences.
Proficiency in all Microsoft suites and data entry.
Ability to enter data efficiently, timely and correctly in order to…"
16,"Monitoring, Evaluation and Learning (MEL) Manager",HEDA RESOURCE CENTRE,Ikeja,"Knowledge of data collection protocols to ensure accurate data collection and verification;
Advanced degree in a relevant discipline (statistics, public policy,…"
17,Geophysicist - Lagos,Null,Lagos,"Good knowledge of Geo sciences data and Information Systems.
Design seismic data acquisition plans and interpret seismic data to create maps."
18,Nutritionist,Klug and Chrome Consult Ltd,Abuja,"Good understanding of research methods and data analysis.
Degree in nutritional science, dietetics or relevant field.
Valid license to practice the profession."
19,"Technical Officer, Prevention Care & Treatment",FHI 360,Lagos,"Bachelor's Degree or its International Equivalent in Economics, Education, Environment, Health, Human Development, Information Science, International…"
20,Data Scientist,Lidya,Lagos,"Technical expertise regarding data models, database design development, data mining and segmentation techniques.
We are looking for a passionate Data Scientist."
21,N-Power Application Portal 2020 - Apply Now,N-Power,Abuja,"(In addition, please note that for N-Power Health, selection preference will be given to holders of Bachelor’s Degree, HND, OND in health science such as…"
22,Teachers Recruitment at Petforde Consult,Petforde Consult,Lagos,"Petforde Consult is currently recruiting suitably qualified candidates to fill the position below:
We are recruiting teachers who are ready to pick up tasks of…"
23,DATA ANALYST,Ascentech,Lagos,"Identifying patterns and trends in data sets.
Defining new data collection and analysis processes.
Experience in data models and reporting packages."
24,Programme Officer - Analyst Early Warning,Null,Abia,"Do the quality control of various data and information for later incorporation into ECOWARN.
Qualification and Experience Degree in any field of Social Sciences…"
25,EXECUTIVE PERSONAL ASSISTANT,Null,Lagos,"A minimum of first degree , preferably in either of Economics, Business, Estate Management, Finance, Accounting, Mathematics, Computer Sciences, Statistics etc."
26,Tech I Laboratory (Global Post Market CIS).,Boston Scientific Corporation,Cross River,"Microbiology, Medical, Laboratory, Medical Technology, CAPA, Science, Healthcare, Management.
Assist in developing and qualifying test methods, data sheets,…"
27,Graduate HR Intern Recruitment at Management Sciences for He...,Management Sciences for Health (MSH),Abuja,"Maintain data for employment history, confirmation, promotions, transfers, salaries, and training.
The Management Sciences for Health (MSH), a global health…"
28,Nutritionist,"The Synagogue, Church Of All Nations(SCOAN)",Lagos,"Good understanding of research methods and data analysis.
Degree in nutritional science, dietetics or relevant field.
Proven experience as a nutritionist."
29,Data Scientist (Machine Learning Engineer),"Okra, Inc.",Lagos,"Graduate degree in Data Science or other quantitative field is preferred.
It’s an amazing time to join the Data Science (Machine Learning) team at Okra."
30,EXECUTIVE PERSONAL ASSISTANT,Null,Lagos,"A minimum of first degree , preferably in either of Economics, Business, Estate Management, Finance, Accounting, Mathematics, Computer Sciences, Statistics etc."
31,Office Clerk Job at Malaria Consortium,Malaria Consortium,Jigawa,"Uses appropriate methods for gathering and summarising data.
Bachelor Degree in Administration, Social Sciences, Project Management or similar."
32,Web developement intern,ValueGate Consulting,Nigeria,"Pursuing an education in Computer Science.
ValueGate Consulting is a global consulting powerhouse with Engineers, Business analyst, Data analyst and Technical…"
33,Graduate Finance Associate Job at Management Sciences for He...,Management Sciences for Health (MSH),Abuja,"Computer skills including proficiency in Microsoft Office Suite applications (Excel spreadsheets, word processing, and electronic mail along with data entry…"
34,Shop Floor Supervisor,Frost Cakes Express,Abuja,"Using software and programmes to record sales figures and effectively analyse data.
A Bachelor's degree in a Management or social science related discipline is…"
35,Data.FI Nigeria Programmer--Consultant,"Palladium Group, Inc.",Nigeria,"Bachelor's degree in Computer Science or another relevant field.
Extensive experience in system and data migration for mission critical technologies."
36,Sales Support Executive / Data Analyst,Ascentech,Lagos,"Proven working experience as a data analyst or business data analyst.
Develop and implement data analyses, data collection systems and other strategies that…"
37,Nutritionist,"The Synagogue, Church Of All Nations(SCOAN)",Lagos,"Good understanding of research methods and data analysis.
Degree in nutritional science, dietetics or relevant field.
Proven experience as a nutritionist."
38,HARDWARE/NETWORKING EXECUTIVE,Null,Lagos,"In Computer Science or any related field.
We are currently recruiting for this position.
2 to 3 years post NYSC experience."
39,"Engineer II, Quality",Boston Scientific Corporation,Cross River,"Quality Engineer, Biotech, Medical, Manufacturing Engineer, Engineering, Quality, Science, Healthcare.
Becomes familiar with Product/Process improvement efforts…"
40,Market Research Administrators (NYSC ONLY),Null,Lagos,"First Degree in Mathematics, Statistics, Economics, Market Research, Computer science or Related Field.
Interpret the data they have collected, organizing this…"
41,Grants Officer,Dansk Flygtningehjælp,Yola,"University degree in a relevant field such as international relations, project management, development studies, business administration, social sciences or…"
42,Production Superintendent – Oil & Gas Sector,AKKA TECHNOLOGIES,Lagos,"As an innovation accelerator for its clients, AKKA supports leading industry players in the automotive, telco&media, industrial, aerospace, rail and life…"
43,IT Admin/Front Desk Officer,SecuriShield,Lagos,"Manage backup process and perform data recoveries as needed.
B.Sc./ Hnd in Computer Science or Information Technology, Mass Communication/any other related…"
44,Software Developer,Null,Lagos,"Degree in Computer Science or relevant field.
Full-stack software developer with 2 years work experience with proven applications previously built."
45,Junior PHP/MySql Developer,Null,Lagos,"Bachelor's degree in computer science or related field.
Reviewing all current systems and reporting to management your recommendations to improve stability, U/X…"
46,Data Analyst,Gozem,Onitsha,"Providing technical expertise on data storage structures, data mining, and data cleansing.
We are looking to hire a Data Analyst to join our data team."
47,Well Completions Engineer-Lagos,Null,Lagos,"Ensure accurate storage of information and data relating to Well files and well data, in line with company & its Clients procedures."
48,Research Associate (Nigeria),Precision Agriculture for Development,Abuja,"Supervise data management activities, clean and analyze data;
PAD is a small, but fast-growing global non-profit that uses tech, data science and behavioral…"
49,IT Support Engineer,Null,Lagos,"Bachelor’s degree in Information Technology or Computer Science.
IT Support Engineers, also known as Technical Support Engineers, provide technical support for…"
50,CATEGORY BUYER (Engineering & Technical),Null,Lagos,"Bachelor’s degree in Engineering, Science or other relevant disciplines.
§ Execute regular update and review of the categories' vendor master data and ensure…"
