,satisfaction_level,last_evaluation,average_montly_hours,time_spend_company,Work_accident,promotion_last_5years,dept_IT,dept_RandD,dept_accounting,dept_hr,dept_management,dept_marketing,dept_product_mng,dept_sales,dept_support,dept_technical,salary_high,salary_low,salary_medium,left_company,predicted
9743,0.79,0.86,238,8,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NO,1
8098,0.73,0.83,266,5,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NO,1
4448,0.32,0.5,143,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,NO,1
3831,0.28,0.46,260,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,NO,1
2519,0.44,0.45,124,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NO,1
7568,0.14,0.57,275,5,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NO,1
7328,0.29,0.57,149,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NO,1
4726,0.87,0.95,242,5,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NO,1
2455,0.68,1.0,258,5,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NO,1
6973,0.84,0.79,157,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,NO,1
11171,0.79,0.86,238,8,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NO,1
3827,0.43,0.93,127,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,NO,1
5431,0.35,0.52,155,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NO,1
7175,0.64,0.99,262,5,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NO,1
1989,0.83,0.81,242,6,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NO,1
4813,0.17,0.57,286,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NO,1
