,Unnamed: 0,Emp ID,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,promotion_last_5years,dept,salary,left_company
0,0,2001,0.58,0.74,4,215,3,0,0,sales,low,YES
1,1,2002,0.82,0.67,2,202,3,0,0,sales,low,YES
2,2,2003,0.45,0.69,5,193,3,0,0,sales,low,YES
3,3,2004,0.78,0.82,5,247,3,0,0,sales,low,YES
4,4,2005,0.49,0.6,3,214,2,0,0,sales,low,YES
5,5,2006,0.36,0.95,3,206,4,0,0,sales,low,YES
6,6,2007,0.54,0.37,2,176,2,0,0,sales,low,YES
7,7,2008,0.99,0.91,5,136,4,0,0,sales,low,YES
8,8,2009,0.5,0.75,6,127,3,0,0,sales,low,YES
9,9,2010,0.74,0.64,4,268,3,0,0,sales,low,YES
10,10,2011,0.56,0.58,4,258,3,0,0,sales,medium,YES
11,11,2012,0.34,0.39,2,136,3,0,0,sales,medium,YES
12,12,2013,0.48,0.94,5,255,6,0,0,accounting,medium,YES
13,13,2014,0.73,0.62,3,218,3,0,0,accounting,medium,YES
14,14,2015,0.59,0.87,3,268,4,0,0,accounting,medium,YES
15,15,2016,0.81,0.57,3,224,2,0,0,hr,medium,YES
16,16,2017,0.9,0.66,3,231,3,0,0,hr,medium,YES
17,17,2018,0.41,0.84,6,191,6,0,0,hr,medium,YES
18,18,2019,0.89,0.92,4,165,5,0,0,hr,medium,YES
19,19,2020,0.48,0.84,4,252,3,0,0,technical,medium,YES
20,20,2021,0.79,0.97,5,266,2,0,0,technical,medium,YES
21,21,2022,0.98,0.66,5,248,3,0,0,technical,medium,YES
22,22,2023,0.75,0.7,4,144,4,0,0,technical,high,YES
23,23,2024,1.0,0.41,4,174,3,0,0,technical,low,YES
24,24,2025,0.24,0.82,5,179,6,0,0,technical,medium,YES
25,25,2026,0.84,0.43,6,246,4,0,0,technical,medium,YES
26,26,2027,0.56,0.86,4,201,3,1,0,technical,medium,YES
27,27,2028,0.92,0.93,4,208,3,0,0,technical,medium,YES
28,28,2029,0.61,0.98,3,267,3,0,0,technical,low,YES
29,29,2030,0.84,0.77,4,262,4,0,0,technical,low,YES
30,30,2031,0.85,0.59,3,235,3,0,0,support,low,YES
31,31,2032,0.67,0.57,2,160,4,0,0,support,low,YES
32,32,2033,0.54,0.94,4,267,4,0,0,support,low,YES
33,33,2034,0.75,0.56,5,175,4,0,0,support,low,YES
34,34,2035,0.82,0.79,4,224,2,0,0,support,low,YES
35,35,2036,0.76,0.6,4,177,2,0,0,support,low,YES
36,36,2037,0.19,0.53,6,191,4,0,0,support,low,YES
37,37,2038,0.61,0.41,3,138,3,0,0,support,low,YES
38,38,2039,0.51,0.8,3,218,2,1,0,support,low,YES
39,39,2040,0.52,0.88,3,179,2,1,0,support,low,YES
40,40,2041,0.74,0.58,3,241,3,0,0,support,low,YES
41,41,2042,0.98,0.91,4,240,3,0,0,technical,low,YES
42,42,2043,0.71,0.92,3,202,4,0,0,technical,low,YES
43,43,2044,0.33,0.88,6,260,3,0,0,technical,low,YES
44,44,2045,0.98,0.97,3,196,3,0,0,management,low,YES
45,45,2046,0.52,0.59,2,176,3,1,0,IT,low,YES
46,46,2047,0.84,0.65,2,140,3,0,0,IT,low,YES
47,47,2048,0.87,0.5,3,242,2,0,0,IT,low,YES
48,48,2049,0.48,0.85,3,279,4,0,0,IT,low,YES
49,49,2050,0.58,0.55,4,202,3,0,0,IT,medium,YES
50,50,2051,0.58,0.84,5,228,3,0,0,product_mng,medium,YES
51,51,2052,0.73,0.69,4,171,3,0,0,product_mng,medium,YES
52,52,2053,0.68,0.54,4,153,3,0,0,product_mng,medium,YES
53,53,2054,0.41,0.68,3,165,3,1,0,product_mng,medium,YES
54,54,2055,0.85,0.6,3,182,3,0,0,IT,medium,YES
55,55,2056,0.54,0.7,5,239,5,0,0,RandD,medium,YES
56,56,2057,0.81,0.61,5,231,2,0,0,RandD,medium,YES
57,57,2058,0.7,0.52,4,255,3,0,0,RandD,medium,YES
58,58,2059,0.63,0.66,4,237,2,1,0,RandD,medium,YES
59,59,2060,0.68,0.54,3,251,2,0,0,RandD,medium,YES
60,60,2061,0.7,0.53,4,178,2,0,0,marketing,medium,YES
61,61,2062,0.82,0.65,4,148,3,0,0,sales,high,YES
62,62,2063,0.72,0.94,4,240,4,0,0,accounting,low,YES
63,63,2064,0.77,0.78,3,269,3,0,0,support,medium,YES
64,64,2065,0.86,0.91,4,147,3,0,0,technical,medium,YES
65,65,2066,0.15,0.97,3,198,5,0,0,management,medium,YES
66,66,2067,0.81,0.99,5,143,3,0,0,marketing,medium,YES
67,67,2068,0.93,0.98,3,238,2,0,0,marketing,low,YES
68,68,2069,0.62,0.74,4,213,4,0,0,marketing,low,YES
69,69,2070,0.53,0.81,3,226,3,1,0,sales,low,YES
70,70,2071,0.86,0.99,3,169,2,1,0,sales,low,YES
71,71,2072,0.92,0.65,4,238,2,0,0,sales,low,YES
72,72,2073,0.97,0.83,4,202,3,0,0,sales,low,YES
73,73,2074,0.39,0.78,2,205,6,1,0,sales,low,YES
74,74,2075,0.45,0.66,3,111,4,0,0,sales,low,YES
75,75,2076,0.41,0.47,4,104,3,0,0,sales,low,YES
76,76,2077,0.51,0.69,3,212,3,0,0,sales,low,YES
77,77,2078,0.74,0.62,4,236,4,0,0,sales,low,YES
78,78,2079,0.69,0.57,5,245,2,1,0,sales,low,YES
79,79,2080,0.84,0.64,4,267,4,0,0,sales,low,YES
80,80,2081,0.69,0.66,5,106,5,0,0,sales,low,YES
81,81,2082,0.93,0.53,5,198,3,0,0,sales,low,YES
82,82,2083,0.33,0.45,6,239,3,0,0,sales,low,YES
83,83,2084,0.25,0.65,5,220,3,0,0,sales,low,YES
84,84,2085,0.63,0.59,5,224,3,0,0,sales,low,YES
85,85,2086,0.81,0.62,3,100,3,0,0,sales,low,YES
86,86,2087,0.12,0.87,4,244,5,0,0,sales,low,YES
87,87,2088,0.52,0.66,4,139,3,0,0,sales,low,YES
88,88,2089,0.57,0.51,2,152,2,0,0,accounting,medium,YES
89,89,2090,0.84,0.58,4,208,3,0,0,accounting,medium,YES
90,90,2091,0.6,0.95,5,205,3,0,0,accounting,medium,YES
91,91,2092,0.73,0.44,2,194,6,0,0,hr,medium,YES
92,92,2093,0.2,0.58,3,209,5,0,0,hr,medium,YES
93,93,2094,0.58,0.9,3,212,3,0,0,hr,medium,YES
94,94,2095,0.48,0.56,2,151,3,0,0,hr,medium,YES
95,95,2096,0.54,0.67,4,282,6,0,0,technical,medium,YES
96,96,2097,0.86,1.0,4,256,3,0,0,technical,medium,YES
97,97,2098,0.94,0.83,2,185,3,1,0,technical,medium,YES
98,98,2099,0.76,0.74,5,132,3,0,0,technical,medium,YES
99,99,2100,0.61,0.95,5,233,3,0,0,technical,medium,YES
100,100,2101,0.56,0.94,4,215,2,0,0,technical,high,YES
101,101,2102,1.0,0.74,3,220,4,0,0,technical,low,YES
102,102,2103,0.15,0.53,6,222,3,0,0,technical,medium,YES
103,103,2104,0.19,0.58,5,182,2,0,0,technical,medium,YES
104,104,2105,0.17,0.73,5,258,4,0,0,technical,medium,YES
105,105,2106,0.71,0.57,3,209,2,0,0,technical,medium,YES
106,106,2107,0.86,0.79,3,242,2,0,0,support,low,YES
107,107,2108,0.59,0.88,4,155,3,1,0,support,low,YES
108,108,2109,0.74,0.76,5,104,4,0,0,support,low,YES
109,109,2110,0.98,0.92,4,201,3,1,0,support,low,YES
110,110,2111,0.93,0.75,5,143,3,0,0,support,low,YES
111,111,2112,1.0,0.92,5,161,3,1,0,support,low,YES
112,112,2113,0.59,0.81,4,200,2,0,0,support,low,YES
113,113,2114,0.98,0.55,4,255,2,0,0,support,low,YES
114,114,2115,0.35,0.5,5,227,2,0,0,support,low,YES
115,115,2116,0.42,0.96,3,270,6,0,0,support,low,YES
116,116,2117,0.61,0.85,5,230,3,0,0,support,low,YES
117,117,2118,0.78,0.72,5,270,3,1,0,technical,low,YES
118,118,2119,0.93,0.52,4,200,3,0,0,technical,low,YES
119,119,2120,0.5,0.95,5,207,3,0,0,technical,low,YES
120,120,2121,0.67,0.51,5,182,3,0,0,management,low,YES
121,121,2122,0.75,0.85,4,234,3,0,0,IT,low,YES
122,122,2123,0.79,0.51,4,237,2,0,0,IT,low,YES
123,123,2124,0.84,0.89,4,187,2,1,0,IT,low,YES
124,124,2125,0.72,0.5,3,257,6,0,0,IT,low,YES
125,125,2126,0.57,0.48,2,194,2,0,0,IT,low,YES
126,126,2127,0.73,0.52,4,162,3,0,0,product_mng,low,YES
127,127,2128,0.74,0.58,4,148,2,0,0,product_mng,medium,YES
128,128,2129,0.52,0.83,4,210,2,0,0,product_mng,medium,YES
129,129,2130,0.56,0.76,3,213,2,1,0,product_mng,medium,YES
130,130,2131,0.76,0.68,4,189,2,1,0,IT,medium,YES
131,131,2132,0.82,0.93,4,185,2,0,0,RandD,medium,YES
132,132,2133,0.76,0.83,3,186,2,1,0,RandD,medium,YES
133,133,2134,0.62,0.59,3,128,3,0,0,RandD,medium,YES
134,134,2135,0.48,0.8,4,268,3,0,0,RandD,medium,YES
135,135,2136,0.64,0.77,3,213,3,1,0,RandD,medium,YES
136,136,2137,0.74,0.82,4,142,2,0,0,marketing,medium,YES
137,137,2138,0.52,0.43,2,199,2,0,0,sales,medium,YES
138,138,2139,0.67,0.5,4,157,2,0,0,accounting,medium,YES
139,139,2140,0.71,0.76,5,172,2,1,0,support,high,YES
140,140,2141,0.72,0.63,3,176,3,1,0,technical,low,YES
141,141,2142,0.33,0.58,2,183,2,0,0,management,medium,YES
142,142,2143,0.91,0.56,4,270,2,0,0,marketing,medium,YES
143,143,2144,0.88,0.68,5,157,4,1,0,marketing,medium,YES
144,144,2145,0.96,0.6,4,185,3,0,0,marketing,medium,YES
145,145,2146,0.97,0.68,3,167,3,0,0,sales,low,YES
146,146,2147,0.27,0.59,5,226,5,0,0,sales,low,YES
147,147,2148,0.65,0.64,3,223,4,0,0,sales,low,YES
148,148,2149,0.68,0.73,3,257,3,0,0,sales,low,YES
149,149,2150,0.68,0.46,4,143,3,0,0,sales,low,YES
150,150,2151,0.69,0.74,3,215,2,0,0,sales,low,YES
151,151,2152,0.79,0.99,3,194,4,0,0,sales,low,YES
152,152,2153,0.74,0.92,5,193,3,0,0,sales,low,YES
153,153,2154,0.8,0.83,3,163,3,0,0,sales,low,YES
154,154,2155,0.38,0.94,5,252,5,0,0,sales,low,YES
155,155,2156,0.26,0.83,3,168,3,0,0,sales,low,YES
156,156,2157,0.81,0.86,3,231,3,0,0,sales,low,YES
157,157,2158,0.67,0.54,2,141,2,0,0,sales,low,YES
158,158,2159,0.55,0.81,4,260,2,0,0,sales,low,YES
159,159,2160,0.87,0.71,3,132,2,0,0,sales,low,YES
160,160,2161,0.46,0.69,2,159,2,0,0,sales,low,YES
161,161,2162,0.63,0.57,4,177,3,1,0,sales,low,YES
162,162,2163,0.54,0.96,4,248,3,0,0,sales,low,YES
163,163,2164,1.0,0.49,3,185,2,0,0,sales,low,YES
164,164,2165,0.97,0.66,4,149,2,0,0,accounting,low,YES
165,165,2166,0.9,0.92,3,152,3,0,0,accounting,low,YES
166,166,2167,0.75,0.7,3,129,3,0,0,accounting,medium,YES
167,167,2168,0.92,0.84,4,208,2,0,0,hr,medium,YES
168,168,2169,0.8,0.94,4,136,2,0,0,hr,medium,YES
169,169,2170,0.57,0.81,3,142,2,0,0,hr,medium,YES
170,170,2171,0.81,0.94,3,225,4,0,0,hr,medium,YES
171,171,2172,0.64,0.6,3,143,3,0,0,technical,medium,YES
172,172,2173,0.71,0.54,4,215,3,0,0,technical,medium,YES
173,173,2174,0.35,0.58,3,229,6,1,0,technical,medium,YES
174,174,2175,0.88,0.81,5,193,5,0,0,technical,medium,YES
175,175,2176,0.13,0.59,5,160,5,0,0,technical,medium,YES
176,176,2177,0.82,0.73,4,195,5,1,0,technical,medium,YES
177,177,2178,0.17,0.92,4,189,2,0,0,technical,medium,YES
178,178,2179,0.21,0.82,4,207,5,0,0,technical,high,YES
179,179,2180,0.89,0.47,4,108,3,0,0,technical,low,YES
180,180,2181,0.2,0.72,6,224,4,0,0,technical,medium,YES
181,181,2182,0.99,0.81,5,180,3,1,0,technical,medium,YES
182,182,2183,0.26,0.85,6,152,4,0,0,support,medium,YES
183,183,2184,0.22,0.53,4,244,2,0,0,support,medium,YES
184,184,2185,0.79,0.84,3,176,3,0,0,support,low,YES
185,185,2186,0.73,0.79,4,145,2,1,0,support,low,YES
186,186,2187,0.83,0.54,3,149,3,0,0,support,low,YES
187,187,2188,0.42,0.54,3,122,4,0,0,support,low,YES
188,188,2189,0.18,0.8,2,110,5,0,0,support,low,YES
189,189,2190,0.92,0.91,4,222,2,0,0,support,low,YES
190,190,2191,0.87,0.52,3,237,3,0,0,support,low,YES
191,191,2192,0.72,0.65,4,224,3,0,0,support,low,YES
192,192,2193,0.64,0.58,5,115,5,0,0,support,low,YES
193,193,2194,1.0,0.66,4,180,3,0,0,technical,low,YES
194,194,2195,0.83,0.65,4,162,3,0,0,technical,low,YES
195,195,2196,0.98,0.58,4,136,3,0,0,technical,low,YES
196,196,2197,0.7,0.87,3,260,2,0,0,management,low,YES
197,197,2198,0.9,0.79,4,150,2,0,0,IT,low,YES
198,198,2199,0.55,0.99,4,248,3,0,0,IT,low,YES
199,199,2200,0.78,0.84,3,233,3,1,0,IT,low,YES
200,200,2201,0.89,0.53,5,272,3,0,0,IT,low,YES
201,201,2202,0.17,0.59,3,197,5,0,0,IT,low,YES
202,202,2203,0.14,0.64,5,164,5,0,0,product_mng,low,YES
203,203,2204,0.85,0.57,4,216,2,0,0,product_mng,low,YES
204,204,2205,0.84,0.79,4,266,3,1,0,product_mng,low,YES
205,205,2206,0.7,0.69,3,102,4,1,0,product_mng,medium,YES
206,206,2207,0.16,0.98,5,284,5,0,0,IT,medium,YES
207,207,2208,0.51,0.69,3,145,2,1,0,RandD,medium,YES
208,208,2209,0.6,0.89,3,167,4,0,0,RandD,medium,YES
209,209,2210,0.5,0.63,3,172,2,0,0,RandD,medium,YES
210,210,2211,0.43,0.39,5,198,5,0,0,RandD,medium,YES
211,211,2212,0.5,0.7,4,201,4,0,0,RandD,medium,YES
212,212,2213,0.91,0.89,4,197,4,0,0,marketing,medium,YES
213,213,2214,0.65,0.93,4,270,2,0,0,sales,medium,YES
214,214,2215,0.59,0.52,2,149,3,0,0,accounting,medium,YES
215,215,2216,0.89,0.56,3,256,3,0,0,support,medium,YES
216,216,2217,0.97,0.6,3,162,3,0,0,technical,medium,YES
217,217,2218,0.56,0.97,5,163,2,0,0,management,high,YES
218,218,2219,0.76,0.93,3,266,3,1,0,marketing,low,YES
219,219,2220,0.28,0.55,4,208,4,0,0,marketing,medium,YES
220,220,2221,0.75,0.51,4,138,4,0,0,marketing,medium,YES
221,221,2222,0.78,0.81,4,232,3,0,0,sales,medium,YES
222,222,2223,0.26,0.63,6,100,4,0,0,sales,medium,YES
223,223,2224,0.53,0.72,2,172,5,0,0,sales,low,YES
224,224,2225,0.25,0.41,3,133,6,1,0,sales,low,YES
225,225,2226,0.82,0.51,3,234,3,0,0,sales,low,YES
226,226,2227,0.71,0.57,2,183,4,0,0,sales,low,YES
227,227,2228,0.61,0.95,4,174,4,0,0,sales,low,YES
228,228,2229,0.89,0.68,3,175,2,0,0,sales,low,YES
229,229,2230,0.57,0.78,3,109,3,1,0,sales,low,YES
230,230,2231,0.93,0.8,4,248,3,0,0,sales,low,YES
231,231,2232,0.61,0.84,5,104,4,0,0,sales,low,YES
232,232,2233,0.56,0.62,3,154,2,0,0,sales,low,YES
233,233,2234,0.7,0.89,6,214,2,0,0,sales,low,YES
234,234,2235,0.9,0.64,4,209,4,0,0,sales,low,YES
235,235,2236,0.15,0.74,6,212,2,0,0,sales,low,YES
