CUSTOMER NUM|PRODUCT NUM|QUANTITY PURCHASED|DISCOUNT TAKEN|TRANSACTION DATE|STOCKOUT
10114|30011|4|0|1/2/2015|0
10217|30016|3|0|1/2/2015|0
10224|30013|4|0|1/2/2015|0
10103|30012|3|0.2|1/2/2015|0
10037|30010|8|0|1/2/2015|0
10324|30010|7|0|1/2/2015|0
10378|30012|8|0|1/2/2015|0
10010|30015|8|0.2|1/2/2015|0
10016|30010|5|0|1/2/2015|0
10472|30014|7|0|1/2/2015|0
10081|30010|8|0|1/2/2015|0
10485|30013|10|0.3|1/2/2015|0
10485|30012|8|0.5|1/2/2015|0
10370|30013|7|0.5|1/2/2015|0
10077|30015|9|0|1/2/2015|0
10086|30011|6|0|1/2/2015|0
10207|30015|9|0|1/2/2015|0
10418|30012|8|0|1/2/2015|0
10332|30016|10|0|1/2/2015|0
10412|30010|7|0|1/2/2015|0
10174|30011|10|0|1/2/2015|0
10401|30011|12|0|1/2/2015|0
10216|30011|12|0.1|1/2/2015|0
10093|30015|8|0|1/2/2015|0
10107|30015|12|0|1/2/2015|0
10444|30016|9|0|1/2/2015|0
10461|30016|13|0|1/2/2015|0
10355|30016|12|0|1/2/2015|0
10204|30011|15|0|1/2/2015|0
10407|30017|4|0|1/2/2015|0
10379|30022|3|0|1/2/2015|0
10113|30022|5|0|1/2/2015|0
10350|30017|8|0|1/2/2015|0
10464|30022|8|0|1/2/2015|0
10061|30017|7|0|1/2/2015|0
10042|30021|8|0|1/2/2015|0
10472|30017|6|0|1/2/2015|0
10268|30020|9|0|1/2/2015|0
10400|30019|7|0|1/2/2015|0
10462|30018|7|0|1/2/2015|0
10439|30020|9|0.1|1/2/2015|0
10205|30018|10|0|1/2/2015|0
10067|30022|8|0|1/2/2015|0
10151|30017|10|0|1/2/2015|0
10077|30018|10|0.1|1/2/2015|0
10216|30022|13|0|1/2/2015|0
10159|30021|12|0|1/2/2015|0
10461|30022|13|0|1/2/2015|0
10461|30020|13|0.1|1/2/2015|0
10073|30023|8|0|1/2/2015|0
10478|30024|5|0|1/2/2015|0
10081|30024|10|0|1/2/2015|0
10321|30024|10|0|1/2/2015|0
10291|30029|12|0|1/2/2015|0
10444|30027|9|0|1/2/2015|0
10374|30025|11|0|1/2/2015|0
10063|30026|13|0|1/2/2015|0
10065|30025|14|0|1/2/2015|0
10049|30030|10|0|1/2/2015|0
10348|30025|14|0|1/2/2015|0
10405|30027|13|0|1/2/2015|0
10499|30002|1|0|1/2/2015|0
10011|30008|1|0.1|1/2/2015|0
10011|30005|2|0|1/2/2015|0
10184|30007|6|0.2|1/2/2015|0
10222|30002|4|0.5|1/2/2015|0
10442|30002|7|0|1/2/2015|0
10359|30006|8|0|1/2/2015|0
10032|30015|8|0|1/2/2015|0
10032|30010|8|0|1/2/2015|0
10029|30012|5|0|1/2/2015|0
10328|30013|5|0.2|1/2/2015|0
10460|30010|5|0|1/2/2015|0
10257|30010|8|0|1/2/2015|0
10387|30015|8|0|1/2/2015|0
10434|30012|8|0|1/2/2015|0
10311|30012|10|0|1/2/2015|0
10276|30014|6|0|1/2/2015|0
10242|30010|10|0|1/2/2015|0
10313|30013|8|0|1/2/2015|0
10494|30013|12|0|1/2/2015|0
10476|30013|12|0.3|1/2/2015|0
10256|30015|9|0|1/2/2015|0
10340|30012|12|0.1|1/2/2015|0
10164|30010|15|0|1/2/2015|0
10319|30012|14|0|1/2/2015|0
10199|30010|15|0|1/2/2015|0
10496|30014|16|0.2|1/2/2015|0
10058|30013|15|0.2|1/2/2015|0
10475|30011|14|0|1/2/2015|0
10354|30014|16|0.2|1/2/2015|0
10394|30015|15|0|1/2/2015|0
10385|30015|12|0|1/2/2015|0
10213|30012|14|0|1/2/2015|0
10188|30010|17|0|1/2/2015|1
10080|30016|17|0|1/2/2015|0
10356|30016|13|0|1/2/2015|0
10473|30016|14|0.1|1/2/2015|0
10493|30011|13|0|1/2/2015|0
10490|30016|13|0|1/2/2015|1
10085|30018|10|0|1/2/2015|0
10296|30020|9|0|1/2/2015|0
10166|30020|10|0|1/2/2015|0
10179|30021|10|0|1/2/2015|0
10179|30020|9|0|1/2/2015|0
10314|30018|14|0|1/2/2015|0
10218|30018|13|0|1/2/2015|0
10173|30017|10|0|1/2/2015|0
10059|30022|15|0|1/2/2015|0
10152|30021|13|0.3|1/2/2015|0
10248|30020|15|0|1/2/2015|0
10346|30020|12|0|1/2/2015|0
10394|30022|16|0.1|1/2/2015|0
10394|30018|14|0|1/2/2015|0
10198|30021|13|0|1/2/2015|0
10186|30021|16|0|1/2/2015|0
10368|30017|16|0|1/2/2015|0
10304|30017|14|0.3|1/2/2015|0
10130|30020|12|0.2|1/2/2015|0
10087|30021|17|0.2|1/2/2015|0
10277|30019|17|0|1/2/2015|0
10389|30021|17|0|1/2/2015|0
10085|30024|8|0|1/2/2015|0
10260|30023|12|0.3|1/2/2015|0
10227|30023|12|0|1/2/2015|0
10431|30024|13|0.4|1/2/2015|0
10457|30023|16|0|1/2/2015|0
