transaction_id,product_id,customer_id,transaction_date,online_order,order_status,brand,product_line,product_class,product_size,list_price,standard_cost,product_first_sold_date
1,2,2950,2/25/2017,0,Approved,Solex,Standard,medium,medium,71.49,53.62,41245
2,3,3120,5/21/2017,1,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,41701
3,37,402,10/16/2017,0,Approved,OHM Cycles,Standard,low,medium,1793.43,248.82,36361
4,88,3135,8/31/2017,0,Approved,Norco Bicycles,Standard,medium,medium,1198.46,381.1,36145
5,78,787,10/1/2017,1,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48,42226
6,25,2339,3/8/2017,1,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,39031
7,22,1542,4/21/2017,1,Approved,WeareA2B,Standard,medium,medium,60.34,45.26,34165
8,15,2459,7/15/2017,0,Approved,WeareA2B,Standard,medium,medium,1292.84,13.44,39915
9,67,1305,8/10/2017,0,Approved,Solex,Standard,medium,large,1071.23,380.74,33455
10,12,3262,8/30/2017,1,Approved,WeareA2B,Standard,medium,medium,1231.15,161.6,38216
11,5,1986,1/17/2017,0,Approved,Trek Bicycles,Mountain,low,medium,574.64,459.71,40784
12,61,2783,1/5/2017,1,Approved,OHM Cycles,Standard,low,medium,71.16,56.93,42172
13,35,1243,2/26/2017,1,Approved,Trek Bicycles,Standard,low,medium,1057.51,154.4,34527
14,16,2717,9/10/2017,0,Approved,Norco Bicycles,Standard,high,small,1661.92,1479.11,34586
15,12,247,6/11/2017,0,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48,38193
16,3,2961,10/10/2017,0,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,37873
17,79,2426,4/3/2017,0,Approved,Norco Bicycles,Standard,medium,medium,1555.58,818.01,38206
18,33,1842,6/2/2017,0,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,33888
19,54,2268,4/6/2017,1,Approved,WeareA2B,Standard,medium,medium,1292.84,13.44,39915
20,25,3002,1/28/2017,1,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,37337
21,27,1582,10/9/2017,0,Approved,Trek Bicycles,Standard,medium,medium,499.53,388.72,36334
22,37,595,6/29/2017,1,Approved,OHM Cycles,Standard,low,medium,1793.43,248.82,36361
23,37,2001,4/8/2017,1,Approved,OHM Cycles,Standard,low,medium,1793.43,248.82,42145
24,82,515,10/18/2017,0,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,42404
25,89,2822,6/11/2017,0,Approved,WeareA2B,Touring,medium,large,1362.99,57.74,34079
26,64,2596,1/10/2017,0,Approved,Trek Bicycles,Standard,medium,large,1469.44,596.55,42145
27,64,2666,4/11/2017,1,Approved,Trek Bicycles,Standard,medium,large,1469.44,596.55,41047
28,19,76,12/23/2017,0,Approved,Trek Bicycles,Mountain,low,medium,574.64,459.71,42560
29,72,3368,10/13/2017,1,Approved,Norco Bicycles,Standard,medium,medium,360.4,270.3,42710
30,91,1173,3/15/2017,0,Approved,WeareA2B,Standard,low,medium,642.31,513.85,41922
31,88,2810,9/5/2017,1,Approved,Norco Bicycles,Standard,medium,medium,1198.46,381.1,37539
32,1,3214,2/18/2017,0,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82,42688
33,25,1272,3/20/2017,0,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,42404
34,99,2003,2/28/2017,1,Approved,Trek Bicycles,Road,low,small,1720.7,1531.42,38991
35,0,2171,8/20/2017,0,Approved,Norco Bicycles,Road,medium,medium,544.05,376.84,38647
36,92,3356,7/7/2017,0,Approved,WeareA2B,Standard,medium,small,1415.01,1259.36,37874
37,14,1040,1/9/2017,0,Approved,Solex,Standard,high,large,1842.92,1105.75,34996
38,2,2916,12/6/2017,0,Approved,Solex,Standard,medium,medium,71.49,53.62,33549
39,12,427,9/12/2017,0,Approved,WeareA2B,Standard,medium,medium,1231.15,161.6,38693
40,0,2448,11/28/2017,1,Approved,Norco Bicycles,Road,medium,medium,544.05,376.84,38647
41,44,2570,5/8/2017,1,Approved,WeareA2B,Standard,medium,medium,1769.64,108.76,37668
42,79,3398,5/14/2017,0,Approved,Solex,Touring,medium,large,2083.94,675.03,41533
43,76,488,3/17/2017,0,Cancelled,WeareA2B,Standard,low,medium,642.31,513.85,41922
44,46,165,12/22/2017,0,Approved,Solex,Standard,low,medium,1289.85,74.51,37668
45,55,2787,6/7/2017,1,Approved,Trek Bicycles,Road,medium,large,1894.19,598.76,42172
46,66,3053,6/20/2017,0,Approved,Solex,Standard,medium,medium,1163.89,589.27,42560
47,35,475,5/7/2017,1,Approved,Trek Bicycles,Standard,low,medium,1057.51,154.4,34527
48,81,1305,6/10/2017,1,Approved,Solex,Standard,medium,medium,1151.96,649.49,41009
49,86,1251,6/17/2017,0,Approved,OHM Cycles,Standard,medium,medium,235.63,125.07,38206
50,32,3103,5/10/2017,0,Approved,Giant Bicycles,Standard,medium,medium,642.7,211.37,37337
51,77,3108,3/24/2017,0,Approved,Norco Bicycles,Road,medium,large,1240.31,795.1,40553
52,96,857,11/27/2017,0,Approved,Giant Bicycles,Standard,medium,large,1635.3,993.66,39427
53,6,3455,12/21/2017,1,Approved,OHM Cycles,Standard,high,medium,227.88,136.73,33549
54,27,2549,2/9/2017,1,Approved,Trek Bicycles,Standard,medium,medium,499.53,388.72,34527
55,0,3140,9/18/2017,0,Approved,Norco Bicycles,Standard,low,medium,363.01,290.41,38482
56,47,3406,11/14/2017,0,Approved,Trek Bicycles,Road,low,small,1720.7,1531.42,35470
57,94,2294,8/30/2017,1,Approved,Giant Bicycles,Standard,medium,large,1635.3,993.66,41434
58,91,1031,11/14/2017,0,Approved,Solex,Standard,medium,medium,100.35,75.26,36367
59,93,993,2/15/2017,1,Approved,OHM Cycles,Standard,high,medium,1458.17,874.9,38750
60,60,3473,12/18/2017,0,Approved,Giant Bicycles,Standard,high,small,1977.36,1759.85,41848
61,0,1839,2/24/2017,0,Approved,OHM Cycles,Road,high,large,12.01,7.21,34244
62,33,1824,12/18/2017,1,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,33888
63,35,368,12/17/2017,0,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82,42688
64,0,2000,7/8/2017,0,Approved,Trek Bicycles,Standard,medium,medium,499.53,388.72,39031
65,28,825,5/16/2017,1,Approved,Norco Bicycles,Standard,medium,small,1216.14,1082.36,42696
66,86,3315,2/23/2017,1,Approved,OHM Cycles,Standard,medium,medium,235.63,125.07,36367
67,2,75,7/3/2017,1,Approved,Solex,Standard,medium,medium,71.49,53.62,41245
68,4,1498,9/30/2017,1,Approved,Giant Bicycles,Standard,high,medium,1129.13,677.48,38258
69,38,1612,10/21/2017,1,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,41167
70,27,2192,5/6/2017,1,Approved,Trek Bicycles,Standard,medium,medium,499.53,388.72,36334
71,54,419,1/3/2017,0,Approved,WeareA2B,Standard,medium,medium,1292.84,13.44,39915
72,77,3307,5/9/2017,1,Approved,WeareA2B,Standard,medium,medium,1769.64,108.76,40672
73,22,2430,7/23/2017,0,Approved,WeareA2B,Standard,medium,medium,60.34,45.26,34165
74,56,1506,1/21/2017,1,Approved,OHM Cycles,Standard,medium,medium,183.86,137.9,35707
75,58,1346,6/20/2017,0,Approved,OHM Cycles,Standard,medium,medium,912.52,141.4,42295
76,22,927,3/10/2017,0,Approved,WeareA2B,Standard,medium,medium,60.34,45.26,33552
77,50,763,6/2/2017,0,Approved,WeareA2B,Standard,medium,small,175.89,131.92,37668
78,80,2397,11/7/2017,0,Approved,OHM Cycles,Touring,low,medium,1073.07,933.84,36145
79,87,102,9/12/2017,1,Approved,Giant Bicycles,Standard,high,medium,1179,707.4,35667
80,15,2884,12/16/2017,0,Approved,Norco Bicycles,Standard,low,medium,958.74,748.9,38693
81,84,759,10/7/2017,1,Approved,Giant Bicycles,Road,medium,medium,792.9,594.68,33879
82,21,773,4/27/2017,1,Approved,Solex,Standard,medium,large,1071.23,380.74,40670
83,0,3398,4/1/2017,1,Approved,OHM Cycles,Standard,medium,medium,235.63,125.07,37626
84,33,3297,11/2/2017,1,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,33888
85,84,2434,2/13/2017,1,Approved,Trek Bicycles,Road,medium,medium,290.62,215.14,38339
86,1,1861,7/19/2017,0,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82,38258
87,27,1233,5/23/2017,0,Approved,Trek Bicycles,Standard,medium,medium,499.53,388.72,33455
88,31,1390,8/6/2017,0,Approved,WeareA2B,Standard,medium,medium,752.64,205.36,34079
89,0,2682,4/4/2017,1,Approved,OHM Cycles,Road,high,large,12.01,7.21,40303
90,62,439,8/15/2017,1,Approved,Solex,Standard,medium,medium,478.16,298.72,34143
91,17,1579,4/15/2017,1,Approved,Solex,Standard,high,medium,1024.66,614.8,35160
92,73,2984,7/25/2017,1,Approved,Solex,Standard,medium,medium,1945.43,333.18,36668
93,33,3470,11/28/2017,1,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,36498
94,86,1,12/23/2017,0,Approved,OHM Cycles,Standard,medium,medium,235.63,125.07,38482
95,45,757,2/26/2017,0,Approved,Solex,Standard,medium,medium,441.49,84.99,34071
96,1,1778,2/21/2017,0,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82,40649
97,80,211,5/31/2017,1,Approved,OHM Cycles,Touring,low,medium,1073.07,933.84,38339
98,49,333,6/23/2017,,Approved,Trek Bicycles,Road,medium,medium,533.51,400.13,37823
99,95,32,3/26/2017,0,Approved,Giant Bicycles,Standard,medium,large,569.56,528.43,37874
100,0,119,7/31/2017,0,Approved,Solex,Standard,medium,medium,478.16,298.72,36146
101,18,2347,7/27/2017,0,Approved,Norco Bicycles,Standard,high,medium,1148.64,689.18,42226
102,4,2353,4/14/2017,0,Approved,Giant Bicycles,Standard,high,medium,1129.13,677.48,40649
103,33,788,11/12/2017,0,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,33888
104,78,1468,9/12/2017,0,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48,38193
105,89,821,10/26/2017,0,Approved,WeareA2B,Touring,medium,large,1362.99,57.74,41434
106,70,2489,2/15/2017,0,Approved,Trek Bicycles,Standard,high,medium,495.72,297.43,42105
107,79,2710,12/22/2017,0,Approved,Norco Bicycles,Standard,medium,medium,1555.58,818.01,37873
108,26,947,10/11/2017,1,Approved,WeareA2B,Standard,medium,medium,1992.93,762.63,34115
109,39,1335,3/27/2017,1,Approved,Giant Bicycles,Standard,medium,large,1812.75,582.48,38991
110,36,1076,11/4/2017,0,Approved,Solex,Standard,low,medium,945.04,507.58,35052
111,0,3320,6/11/2017,1,Approved,OHM Cycles,Standard,low,medium,71.16,56.93,42172
112,84,779,10/9/2017,0,Approved,Giant Bicycles,Road,medium,medium,792.9,594.68,33879
113,98,3296,6/7/2017,1,Approved,Trek Bicycles,Standard,high,medium,358.39,215.03,33364
114,75,455,10/24/2017,1,Approved,Giant Bicycles,Touring,medium,large,1873.97,863.95,37873
115,76,1779,5/1/2017,0,Approved,WeareA2B,Standard,low,medium,642.31,513.85,38482
116,72,2703,11/21/2017,1,Approved,Norco Bicycles,Standard,medium,medium,360.4,270.3,40553
117,42,806,3/24/2017,0,Approved,OHM Cycles,Road,medium,small,1810,1610.9,34071
118,20,22,3/21/2017,0,Approved,Trek Bicycles,Standard,medium,small,1775.81,1580.47,40303
119,64,1591,2/20/2017,0,Approved,Trek Bicycles,Standard,medium,large,1469.44,596.55,38647
120,0,678,6/16/2017,0,Approved,Trek Bicycles,Standard,high,medium,495.72,297.43,42105
121,25,50,12/4/2017,0,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,33888
122,24,1038,12/1/2017,1,Approved,Solex,Road,medium,large,1777.8,820.78,34115
123,31,1453,3/5/2017,1,Approved,WeareA2B,Standard,medium,medium,752.64,205.36,42218
124,98,1339,3/21/2017,0,Approved,OHM Cycles,Standard,medium,medium,795.34,101.58,35470
125,22,3382,1/3/2017,1,Approved,Solex,Standard,medium,medium,575.27,431.45,41345
126,53,773,4/1/2017,0,Approved,OHM Cycles,Standard,medium,medium,795.34,101.58,37823
127,84,2503,3/16/2017,1,Approved,Trek Bicycles,Road,medium,medium,290.62,215.14,38482
128,25,1057,2/26/2017,0,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,42404
129,50,1397,6/5/2017,0,Approved,WeareA2B,Standard,medium,small,175.89,131.92,42295
130,44,2134,9/4/2017,0,Approved,WeareA2B,Standard,medium,medium,1769.64,108.76,40672
131,96,2403,1/18/2017,1,Approved,WeareA2B,Road,low,small,1172.78,1043.77,37539
132,12,1937,9/28/2017,0,Approved,WeareA2B,Standard,medium,medium,1231.15,161.6,38216
133,93,1282,9/2/2017,1,Approved,WeareA2B,Standard,medium,medium,1065.03,230.09,37539
134,78,2183,5/9/2017,0,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48,33429
135,84,1788,10/17/2017,0,Approved,Giant Bicycles,Road,medium,medium,792.9,594.68,38859
136,65,1170,4/25/2017,1,Approved,WeareA2B,Standard,medium,medium,1807.45,778.69,42105
137,0,431,9/23/2017,0,Approved,,,,,1942.61,,
138,29,1940,8/2/2017,0,Approved,WeareA2B,Standard,medium,medium,1065.03,230.09,36833
139,32,2073,3/25/2017,0,Cancelled,Giant Bicycles,Standard,high,medium,1179,707.4,36833
140,11,462,1/1/2017,0,Approved,Giant Bicycles,Standard,high,medium,1274.93,764.96,42560
141,10,2728,12/22/2017,0,Approved,Solex,Standard,medium,medium,1945.43,333.18,37499
142,46,2053,12/25/2017,0,Approved,Solex,Standard,low,medium,1289.85,74.51,41064
143,60,2135,1/26/2017,1,Approved,Giant Bicycles,Standard,high,small,1977.36,1759.85,41047
144,92,1217,12/20/2017,0,Approved,WeareA2B,Touring,medium,large,1890.39,260.14,33259
145,7,2992,6/7/2017,1,Approved,Trek Bicycles,Road,low,medium,980.37,234.43,38693
146,41,3261,4/6/2017,1,Approved,Solex,Road,medium,medium,416.98,312.74,35560
147,67,2748,4/25/2017,1,Approved,Norco Bicycles,Road,medium,medium,544.05,376.84,38647
148,14,3262,1/13/2017,0,Approved,Trek Bicycles,Standard,medium,small,1386.84,1234.29,37838
149,89,788,3/21/2017,0,Approved,WeareA2B,Touring,medium,large,1362.99,57.74,34079
150,9,3067,11/21/2017,1,Approved,OHM Cycles,Road,medium,medium,742.54,667.4,34586
151,31,701,11/11/2017,0,Approved,Giant Bicycles,Standard,medium,medium,230.91,173.18,37698
152,92,648,10/16/2017,0,Approved,WeareA2B,Standard,medium,small,1415.01,1259.36,36833
153,37,3286,8/19/2017,1,Approved,OHM Cycles,Standard,low,medium,1793.43,248.82,36361
154,3,3383,4/6/2017,1,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,40784
155,56,982,11/4/2017,1,Approved,Norco Bicycles,Mountain,low,small,688.63,612.88,42404
156,14,676,8/22/2017,1,Approved,Solex,Standard,high,large,1842.92,1105.75,37873
157,6,385,9/15/2017,1,Approved,Solex,Standard,high,medium,748.17,448.9,42105
158,50,1229,3/1/2017,1,Approved,WeareA2B,Standard,medium,small,175.89,131.92,39915
