,satisfaction_level,last_evaluation,average_montly_hours,time_spend_company,Work_accident,promotion_last_5years,dept,salary,left_company,predicted
1557,0.5,0.85,138,3,0,0,accounting,medium,NO,1
961,0.73,0.83,270,5,1,0,support,medium,NO,1
721,0.31,0.87,184,3,0,0,technical,low,NO,1
930,0.32,0.58,271,5,0,0,sales,high,NO,1
1005,0.54,0.56,260,3,0,0,sales,medium,NO,1
3352,0.25,0.46,214,4,0,0,technical,medium,NO,1
3245,0.8,0.53,255,5,0,0,technical,high,NO,1
1396,0.2,0.7,281,5,0,0,sales,medium,NO,1
279,0.82,0.81,233,4,1,0,support,low,NO,1
418,0.42,0.53,199,4,0,0,technical,medium,NO,1
1388,0.14,0.7,236,3,0,0,sales,medium,NO,1
1071,0.9,0.95,275,3,0,0,management,low,NO,1
874,0.14,0.73,282,5,0,0,technical,low,NO,1
3062,0.82,0.81,233,4,1,0,support,low,NO,1
1021,0.8,0.95,146,5,0,0,hr,low,NO,1
877,0.49,0.63,265,3,0,0,technical,low,NO,1
1515,0.72,0.99,257,5,0,0,IT,high,NO,1
2427,0.55,0.6,180,4,0,0,technical,medium,NO,1
1203,0.42,0.97,259,4,0,0,management,high,NO,1
741,0.5,0.54,153,4,0,0,support,low,NO,1
1238,0.66,1.0,269,5,0,0,sales,medium,NO,1
985,0.11,0.55,137,3,1,0,RandD,low,NO,1
1586,0.76,0.85,236,6,0,0,technical,medium,NO,1
948,0.61,0.86,196,4,0,0,hr,low,NO,1
1281,0.75,0.88,270,5,0,0,IT,high,NO,1
1358,0.29,0.48,249,4,0,0,IT,medium,NO,1
1476,0.79,0.95,228,5,0,0,sales,high,NO,1
1338,0.51,0.79,134,3,0,0,technical,low,NO,1
891,0.75,0.86,237,5,0,0,support,high,NO,1
1454,0.55,1.0,136,3,0,0,support,low,NO,1
1514,0.1,0.68,179,3,0,0,IT,medium,NO,1
427,0.55,0.6,180,4,0,0,technical,medium,NO,1
3201,0.42,0.53,199,4,0,0,technical,medium,NO,1
1460,0.78,0.45,128,2,0,0,sales,low,NO,1
2279,0.82,0.81,233,4,1,0,support,low,NO,1
815,0.8,0.97,218,5,1,0,support,medium,NO,1
915,0.48,0.88,239,3,0,0,sales,low,NO,1
2721,0.31,0.87,184,3,0,0,technical,low,NO,1
1674,0.56,0.86,252,2,0,0,IT,medium,NO,1
1546,0.73,0.84,251,6,0,0,sales,medium,NO,1
2741,0.5,0.54,153,4,0,0,support,low,NO,1
1564,0.12,0.8,136,2,0,0,technical,low,NO,1
1391,0.72,1.0,169,3,0,0,sales,medium,NO,1
1293,0.72,1.0,240,2,0,0,RandD,low,NO,1
2684,0.42,1.0,202,3,0,0,sales,medium,NO,1
1703,0.73,0.99,206,5,0,0,sales,medium,NO,1
1058,0.31,0.95,235,5,0,0,product_mng,low,NO,1
3552,0.76,0.89,238,5,0,0,technical,high,NO,1
1494,0.17,0.75,188,4,0,0,technical,low,NO,1
1989,0.66,0.91,248,4,0,0,management,low,NO,1
2569,0.25,0.46,214,4,0,0,technical,medium,NO,1
828,0.59,1.0,160,5,0,0,product_mng,low,NO,1
2462,0.8,0.53,255,5,0,0,technical,high,NO,1
1576,0.6,0.85,250,2,0,0,support,low,NO,1
462,0.8,0.53,255,5,0,0,technical,high,NO,1
684,0.42,1.0,202,3,0,0,sales,medium,NO,1
