,Emp ID,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,promotion_last_5years,dept,salary
0,2001,0.58,0.74,4,215,3,0,0,sales,low
1,2002,0.82,0.67,2,202,3,0,0,sales,low
2,2003,0.45,0.69,5,193,3,0,0,sales,low
3,2004,0.78,0.82,5,247,3,0,0,sales,low
4,2005,0.49,0.6,3,214,2,0,0,sales,low
5,2006,0.36,0.95,3,206,4,0,0,sales,low
6,2007,0.54,0.37,2,176,2,0,0,sales,low
7,2008,0.99,0.91,5,136,4,0,0,sales,low
8,2009,0.5,0.75,6,127,3,0,0,sales,low
9,2010,0.74,0.64,4,268,3,0,0,sales,low
10,2011,0.56,0.58,4,258,3,0,0,sales,medium
11,2012,0.34,0.39,2,136,3,0,0,sales,medium
12,2013,0.48,0.94,5,255,6,0,0,accounting,medium
13,2014,0.73,0.62,3,218,3,0,0,accounting,medium
14,2015,0.59,0.87,3,268,4,0,0,accounting,medium
15,2016,0.81,0.57,3,224,2,0,0,hr,medium
16,2017,0.9,0.66,3,231,3,0,0,hr,medium
17,2018,0.41,0.84,6,191,6,0,0,hr,medium
18,2019,0.89,0.92,4,165,5,0,0,hr,medium
19,2020,0.48,0.84,4,252,3,0,0,technical,medium
20,2021,0.79,0.97,5,266,2,0,0,technical,medium
21,2022,0.98,0.66,5,248,3,0,0,technical,medium
22,2023,0.75,0.7,4,144,4,0,0,technical,high
23,2024,1.0,0.41,4,174,3,0,0,technical,low
24,2025,0.24,0.82,5,179,6,0,0,technical,medium
25,2026,0.84,0.43,6,246,4,0,0,technical,medium
26,2027,0.56,0.86,4,201,3,1,0,technical,medium
27,2028,0.92,0.93,4,208,3,0,0,technical,medium
28,2029,0.61,0.98,3,267,3,0,0,technical,low
29,2030,0.84,0.77,4,262,4,0,0,technical,low
30,2031,0.85,0.59,3,235,3,0,0,support,low
31,2032,0.67,0.57,2,160,4,0,0,support,low
32,2033,0.54,0.94,4,267,4,0,0,support,low
33,2034,0.75,0.56,5,175,4,0,0,support,low
34,2035,0.82,0.79,4,224,2,0,0,support,low
35,2036,0.76,0.6,4,177,2,0,0,support,low
36,2037,0.19,0.53,6,191,4,0,0,support,low
37,2038,0.61,0.41,3,138,3,0,0,support,low
38,2039,0.51,0.8,3,218,2,1,0,support,low
39,2040,0.52,0.88,3,179,2,1,0,support,low
40,2041,0.74,0.58,3,241,3,0,0,support,low
41,2042,0.98,0.91,4,240,3,0,0,technical,low
42,2043,0.71,0.92,3,202,4,0,0,technical,low
43,2044,0.33,0.88,6,260,3,0,0,technical,low
44,2045,0.98,0.97,3,196,3,0,0,management,low
45,2046,0.52,0.59,2,176,3,1,0,IT,low
46,2047,0.84,0.65,2,140,3,0,0,IT,low
47,2048,0.87,0.5,3,242,2,0,0,IT,low
48,2049,0.48,0.85,3,279,4,0,0,IT,low
49,2050,0.58,0.55,4,202,3,0,0,IT,medium
50,2051,0.58,0.84,5,228,3,0,0,product_mng,medium
51,2052,0.73,0.69,4,171,3,0,0,product_mng,medium
52,2053,0.68,0.54,4,153,3,0,0,product_mng,medium
53,2054,0.41,0.68,3,165,3,1,0,product_mng,medium
54,2055,0.85,0.6,3,182,3,0,0,IT,medium
55,2056,0.54,0.7,5,239,5,0,0,RandD,medium
56,2057,0.81,0.61,5,231,2,0,0,RandD,medium
57,2058,0.7,0.52,4,255,3,0,0,RandD,medium
58,2059,0.63,0.66,4,237,2,1,0,RandD,medium
59,2060,0.68,0.54,3,251,2,0,0,RandD,medium
60,2061,0.7,0.53,4,178,2,0,0,marketing,medium
61,2062,0.82,0.65,4,148,3,0,0,sales,high
62,2063,0.72,0.94,4,240,4,0,0,accounting,low
63,2064,0.77,0.78,3,269,3,0,0,support,medium
64,2065,0.86,0.91,4,147,3,0,0,technical,medium
65,2066,0.15,0.97,3,198,5,0,0,management,medium
66,2067,0.81,0.99,5,143,3,0,0,marketing,medium
